id,unique_id,tag,keyword,first_editor,last_editor,yomi,content
1,1,ピクミン,岩ピクミン,koppacha,koppacha,いわぴくみん,『ピクミン3』で初登場したピクミンの一種。 ストーリーモードでは“再開の花園”の洞窟内で初遭遇することになるが、 トロロタラシに捕まっているため、トロロタラシを倒さなければ仲間にすることができない。身体が硬い石のような物質でできており、各ステージに点在する“スイショウ”を破壊できるという特徴を持つ。 また、岩ピクミンを原生生物に投げると大きなダメージを与えることができるため、戦闘での活躍も期待できる。 さらに潰す攻撃に対して無敵であるため、フタクチドックリやイモガエルと戦うときは岩ピクミンのみで挑むと犠牲ゼロで倒すことができる。このようにルート開拓・戦闘力両面において有用な特徴を持ってはいるが、 投げる際にバウンドする、張り付き攻撃ができない、などといった特徴を持ち併せているため、 戦闘力に関しては状況によっては赤ピクミンの方が勝る場合もある。
2,2,原生生物,ペロチャッピー,koppacha,koppacha,ぺろちゃっぴー,『ピクミン3』で初登場したイヌムシ科(推定)の一種。 クマチャッピーと同じく昼行性で、決まった縄張りを巡廻して常に捕食対象を探している。 背後を取りにくく、正面から挑まざるを得ない場合も多いため、夜行性である他のイヌムシ科よりも手強いと言える。 口がアリクイのようにすぼんでおり、ここから長い舌をくりだしてピクミンを絡め取って食べる。 その性質上クマチャッピーと比べると捕食スピードはそれほど速くない。 ケチャッピーと色が似ているが活動場所などはまったく異なり、関連性は不明。
3,3,その他回収物,キンカイ,koppacha,koppacha,きんかい,『ピクミン3』で初登場した回収対象物。ミッションモード“お宝をあつめろ！”にのみ登場する。 キンカイは必ず複数個が固まって配置されており、ひとつあたりの重さは1(最大値1)で、一粒あたり3点の価値。 ピクミンはこれをひとつずつ運び、ポッドまで持ってくると自動的に往復して残りのキンカイも運び始める。 すべてのキンカイを回収すると、キンカイのあった場所で待機する。ピクミンを一気にキンカイに投げる場合、ピクミンの数をキンカイ総数の約数にすると効率良く運搬できる。 また、複数の隊員を操作できるステージの場合は、キンカイの場所に一人待機させておくことでフリーになったピクミンをすぐ動かすことができる。キンカイが多数配置されている“白銀の泉”“続・落葉の回廊”などは、いかにして効率良くキンカイを回収するかがハイスコアの鍵となる。 最も大きいキンカイは“続・原生の杜”、“冬の贈りもの”に登場する100個。
4,4,フルーツ,ヒダマリノミ,koppacha,koppacha,ひだまりのみ,『ピクミン2』で初登場したお宝。イチゴの外見をしている。価値170ポコ。“未開の味シリーズ”のひとつであり、次作『ピクミン3』にも登場した。 “めざめの森”の地上に存在するお宝の中でもドルフィン初号機に非常に近い場所に置かれており、 このエリアの中では回収は最も容易なお宝であると言える。重さは5～10。 近くにアカコチャッピーとアカチャッピーが生息しているため、これらを退治しておくとより安全に運搬できる。『ピクミン3』では“再開の花園”にて、アルフたちが最初に遭遇するフルーツとして登場する。 4個存在し、果汁量は1.0。重さは3～6と前作から比べて軽くなっている。4個のうち3個は“再開の花園”に存在する。 ミッションモードでも価値50点のお宝として頻繁に登場する他、 “フキダマリノミ”という、より価値の高い類似のお宝も存在する。ピクミンシリーズでは“ヤブレカブレ”と並んでメジャーな運搬物と言えるだろう。
5,5,ピクミン,黄ピクミン,koppacha,koppacha,きぴくみん,『ピクミン』で初登場したピクミンの一種。 『ピクミン』ではバクダン岩を扱える唯一のピクミンとして、『ピクミン2』では電気に耐性を持つピクミンとして、 『ピクミン3』では電気耐性に加え、タテ穴・ヨコ穴の開通速度と、埋まっているフルーツを掘る速度が早い唯一のピクミンとして登場する。 共通しているのは“他のピクミンよりも高く飛ぶ”という点のみである。 『ピクミン』の頃からすでにバクダン岩を扱えたり、採掘速度が速いなどといった特徴から、他ピクミンよりも器用であることがうかがえる。 いずれのシリーズでも、他ピクミンと違って代替の効かない特性を持っていることもあり重宝される傾向にある。特に『ピクミン2』における高難度の地下ではダマグモ系のボスが多いことや、属性攻撃のうち電気のみが即死ということもあり、 それらに強い黄ピクミンがよく活躍する。『ピクミン3』では赤ピクミンを差し置いて最初に遭遇するピクミンとして登場した。
6,6,チャレンジモード,けだものの穴,koppacha,koppacha,けだもののあな,通常は“始まりの洞窟”の次に入ることになる地下。フロア数や原生生物の数の割にお宝総金額が高い。 お宝はすべて任天堂が実際に販売していたことのあるもので統一されている。 属性は火のみとなっているため、赤ピクミンのみでも十分攻略できるが、お宝に比較的重いものが多いため紫ピクミンがいた方がスムーズに進める。 最深部のボス・クイーンチャッピーは他の洞窟で登場するバージョンと違ってベビーチャッピーを生まないタイプである。 入口は比較的ドルフィン初号機から近い場所にあり、B4Fにはムラサキポンガシグサがあるため序盤で紫ピクミンを増やすのに適した地下と言える。
7,7,原生生物,ダンゴナマズ,koppacha,koppacha,だんごなまず,口元と獰猛であること以外は似ても似つかないがデメマダラの近縁種である。 シリーズを通して主に「水上の難敵」として、特に青ピクミンを連れているときのプレイヤーを悩ませ続ける。 捕食スピードは大きさが倍以上あるチャッピーとほぼ変わらず、遭遇時の隊列は攻撃力に乏しい青ピクミンのみであることが多いため、真正面から挑むと甚大な被害を生んでしまいがちである。 反面、背後に弱いのは他のイヌムシ科と共通しており、気付かれないまま背後から突撃すれば少数精鋭でも倒すことができる。 両生類なのか陸上に出る姿も確認され、特に『ピクミン2』の地下では陸上で動き回る姿がよく見かけられる。
8,8,原生生物,ハンボ,koppacha,koppacha,はんぼ,普段は葉っぱに擬態しており、この状態ではピクミンは見付けることができないため攻撃しようとしない。 さらに動きだすと非常に素早いため、突撃だけで倒そうとすると時間を食いがちである。 コチャッピー系と同じように背中にピクミンを当てると一撃で倒すことができるため、倒すときはこの方法でサクサクと倒していきたい。 明るい場所が苦手なのか、『ピクミン2』では水中や洞窟に多く生息する。 『ピクミン3』では、ミッションモード“草花の園”にてハンボの隠れ家を見ることができる。
9,9,フィールド,水中の城,koppacha,koppacha,すいちゅうのしろ,『ピクミン2』に登場する、水中に入口があり青ピクミンしか入ることのできない特殊な地下。 B1～B4Fはそのフロアに5分間居続けるとアメボウズが降ってくる。 アメボウズは紫ピクミンの衝撃がないと実体化しないため、4Fまでは実質無敵である。 このアメボウズの脅威に加え、青ピクミンしか連れて行けないのに間欠炎、電極、毒ガス管と多彩な障害物がある上に、 B4Fではいたるところにサクレショイグモやバクダン岩が配置されており、同作の地下の中でも屈指の難易度を誇る。 ただしすべての属性攻撃は地下に最大40匹出現するコッパチャッピーで対処することができるため、 慣れれば青ピクミンはそれほど連れていかなくても攻略できる。 最深部ではムラサキポンガシグサが配置されており、ここでようやくアメボウズと対峙することになる。
10,10,ピクミン,羽ピクミン,koppacha,koppacha,はねぴくみん,『ピクミン3』で初登場したピクミンの一種。ストーリーモードでは“交わりの渓流”で出会うことになる。 目が大きい点や小柄な点など、ピクミン科の中でも白ピクミンとの類似点が多く見られる。 ピンク色の身体に小さな羽根が付いており、常に飛んで動き回る。そのため、浅瀬であれば水上を移動することもできる他、段差を飛び越えて物を運ぶこともできる。 ストーリーモードではオニヨンごと天敵のマリグモに捕らえられており絶滅寸前だったところをコッパイ星人に助けられた。 攻撃力は青ピクミンよりもさらに低く全ピクミン中最弱であるが、空を飛ぶ原生生物に何度も立ち向かっていけるという強さを持ち併せており、 フーセンドックリやサライムシといった原生生物に対しては無類の強さを発揮する。
11,11,原生生物,ダマグモ,koppacha,koppacha,だまぐも,『ピクミン』で初登場した大型原生生物。四本の大きな足にくす玉のようなコアが垂れ下がっている。 テリトリーに入ってきた小型原生生物を大きな足で踏みつぶす。内蔵など重要な器官がコア部分に集中しているらしく、 ここを攻撃することで倒すことができる。特に高く飛ぶ黄ピクミンの場合はコア部分に直接届くため、容易に倒すことが可能。 倒すとコア部分が割れる。『ピクミン』では“ガードサテライト”、『ピクミン2』では“あのカギ”がそれぞれ中から出てくる。 その他に大きなペレットを蓄えていることも多い。 『ピクミン』では専用BGMが用意されているのはラスボスのダイオウデメマダラを除くとこのダマグモのみである。 シリーズを通して中ボスのシンボル的存在であり、『ピクミン2』ではさまざまな亜種が登場した。 自身も頻繁に登場していたが、次作の『ピクミン3』では亜種のケダマグモにその座を奪われ、登場することはなかった。
12,12,フルーツ,ヒトタマデラマンプク,koppacha,koppacha,ひとたまでらまんぷく,『ピクミン3』に登場するスイカ。“始まりの森”に生息する大型生物・オオスナフラシが飲み込んでおり、倒すと同時に吐き出され運べるようになる。 出現と同時に6つに割れ、合計42匹で運べるようになる。また、ミッションモード“お宝をあつめろ！”では“続・渇きの砂”で見ることができる。 重い運搬物が少ない『ピクミン3』の中では非常に運搬に手間のかかるフルーツであり、 最も大きい欠片は全フルーツの中でも“オミマイノミ”に次ぐ重さである。 スイカは厳密に分類すると野菜であるが、作中ではフルーツとして扱われている。
13,13,原生生物,パンモドキ,koppacha,koppacha,ぱんもどき,『ピクミン』で初登場した原生生物。外敵からの攻撃に耐えうる肉厚の表皮を持った原生生物であり、 ピクミン同様エリア内のどこかに自分の“巣”を持ち、決められたルートを常に巡廻している昼行性の生物である。 ピクミンと同じ食性であり、ペレットや小型原生生物を運搬して巣穴に溜め込む習性を持つ。 ピクミンは直接危害を与えようとするものしか敵と見なさない習性があるため、 ピクミンを直接捕食しないパンモドキに対しては攻撃しようとしないが、餌の奪い合いになることはある。 また、パンモドキとオオパンモドキは狙う餌の大きさが違うため奪い合いになることはないが、お互いに死骸を運ぶことがある。 『ピクミン』ではチャレンジモード“遭難地点”“樹海のヘソ”で登場する数少ない原生生物のうち一種である。 また、『ピクミン2』ではチャレンジモード“食神のかまど”にてパンモドキの巣と見られる場所がある。 『ピクミン3』では類似生物も含めて登場しなかった。
14,14,原生生物,アカコチャッピー（コチャッピー）,koppacha,koppacha,あかこちゃっぴー,アカチャッピーの幼生……ではなく、パンモドキ科のうちチャッピーに擬態したもの。イヌムシ科とはまったくの別種である。 デメマダラの多くが同種を背中の斑紋で識別する習性を利用してチャッピーの群れに紛れ込んでいる。 昼行性であり、チャッピーが寝ているそばで常に餌を求めて地面をかぎまわっている。 『ピクミン』では身の危険を察すると鳴いてチャッピーを起こすという行動も見られたが、『ピクミン2』以降ではそのような行動はなくなっている。 チャッピー同様背中が弱点であり、ピクミンを背中に向かって投げると一撃で倒すことができる。 『ピクミン』では“小チャッピー”という名前だったが『ピクミン2』では亜種が存在したため、それと区別するために“アカコチャッピー”という名前が付けられていた。 ところが『ピクミン3』になると亜種がいなくなったため再び“コチャッピー”という名前に戻ってしまった。
15,15,ピクミン,紫ピクミン,koppacha,koppacha,むらさきぴくみん,『ピクミン2』で初登場したピクミンの一種。丸くて太い紫色の身体に、赤色の花、そして頭の周りに数本生えた体毛が特徴。 『ピクミン2』では赤ピクミンに続き二番目に出会うことになるピクミンで、 原生生物との戦闘・お宝の運搬それぞれで中核的な活躍ができることから、本作の中心的存在とも言える存在である。 赤・青・黄ピクミンと異なりムラサキポンガシグサでしか増やすことができず、そのムラサキポンガシグサも特定の地下でしか咲かないという、 かなり特異な生態を持っている。移動が遅い代わりに力持ちであり、運搬時は通常のピクミンの10倍の力を発揮できる。 “ジオグラフィック・システム”“スフィア・マップ”“超重ギガンティス”は重さが100を超えるため、 紫ピクミンがいなければ運ぶことができない。 その巨体から想像できるようにかなり重く、投げると着地時に衝撃波を放つ。個体差はあるが小型～中型原生生物はこの衝撃波をまともに受けると数秒ひるむため、その隙に容易に倒すことができる。 このように多方面で飛び抜けた性能を発揮できることから、『ピクミン2』のプレイヤーの間ではしばしばゲームバランスを崩した原因とも言われる。 そのためか、ミッションモードでのみ登場となった次作『ピクミン3』では戦闘面での性能はやや抑えられている。
16,16,原生生物,サライムシ,koppacha,koppacha,さらいむし,小さなテリトリーを常に飛んで巡廻しており、ピクミンを見付けると両手でさらおうとする。 さらわれたピクミンはしばらくすると地面に捨てられ、その衝撃で地面に埋まってしまう。 ピクミンを捕食することはないものの、手間取ると大幅な時間ロスになるというタイプの原生生物はシリーズを通して数多く登場するが、その元祖的存在であると言える。 黄ピクミン、羽ピクミンがいれば容易に対処できる。 『ピクミン3』では隊員をさらうようにもなったため、前作から大きく強化された原生生物であると言える。 ミッションモードにおいても頻繁に登場するが、1匹でもさらわれてしまうと大幅なタイムロスになることから、かなり厄介な生物と言える。 今のところシリーズ皆勤賞である。
17,17,宇宙船パーツ,ノン・ダイオキシン,koppacha,koppacha,のんだいおきしん,『ピクミン』に登場するパーツのひとつ。樹海のヘソを象徴する巨大な水たまりの中心部に置かれており、周辺にはマロガエルやブタドックリなどが徘徊する。 攻撃力の低い青ピクミンでこれらを処理しつつ、40匹以上で運ばなければならない上にドルフィン号から距離もあるため運搬難易度はやや高い。 パーツの重さは“へそくり金庫”、“グルーオンドライブ”に次いで“永久燃料ダイナモ”に並ぶ第三位である。 ドルフィン号が航行の際に排気する有毒物質を変換する装置であり、ホコタテ星の宇宙飛行船には装着が義務づけられている。
18,18,バトルモード,勝利のマカロンリターン,koppacha,koppacha,しょうりのまかろんりたーん,『ピクミン3』のビンゴバトルモードにおいて、陣地に持ち帰るだけで勝利となる特殊なお宝“勝利のマカロン”を取り戻すためのアイテム。 “ヤブレカブレ”を運搬して回すルーレットでのみ出現する。 使うと、“勝利のマカロン”が例え相手ピクミンによって運搬中であっても初期位置まで戻ってくる。 自軍のマカロンはピクミンで運搬できないため、防衛のためにはこのアイテムをルーレットで当てることが必須である。 ビンゴバトルモードの常として、お互いの状況は常に相手にも伝わっているため、 勝利のマカロン運搬中の相手はこちらのスロットを常にチェックし、このアイテムの出現を警戒していることが多い。 そのため、勝利のマカロンを運搬していることを気付かれないようにするという戦術が考えられる。 このアイテムが出たら勝利のマカロンの状況を確認する前に使ってしまうのが無難だが、 寸前まで気付いていないふりをして相手を勝利のマカロンに集中させ、その隙に他のお宝を運んでしまうという手もある。 『ピクミン2』の2Pバトルモードでも自軍のビー玉を取り戻す効果のアイテムが存在したが、正式名称は不明。
19,19,原生生物,ケチャッピー,koppacha,koppacha,けちゃっぴー,“ねむりの谷”“のぞみの大地”の地下にしか生息しない、ベニデメマダラの亜種。 白地に青い斑紋、鼻の部分だけが少し黒ずんでおり、弱点である背中にびっしりと白い体毛を生やしているのが特徴。 辺境の洞窟などの寒冷地に適応するための進化と言われている。 同時にピクミンなど敵生物から弱点を守る役目も担っているはずなのだが、紫ピクミンの衝撃波を受けると簡単に抜け落ちてしまうため、 ガードとしての役割を十分担っているとは言いがたい。そのせいもあってか、重さ・価値等はベニデメマダラとまったく変わらない。 『ピクミン3』では舞台が地上に限定されたこともあり、ケチャッピーが登場することはなかった。
20,20,ピクミン,赤ピクミン,koppacha,koppacha,あかぴくみん,『ピクミン』で登場したピクミンの一種。赤い身体に尖った鼻を持つ。 シリーズを通して最初に出会うピクミンであり、チュートリアルパートで操作される役割を担っている(『ピクミン3』では一部役割を黄ピクミンも担っている)。 第一作で最初に登場したピクミンということもあり、ピクミンの代表的存在である。 ピクミンを示すアイコングラフィックは赤ピクミンをモデルとしていることが多い。 他ピクミンと比べて攻撃力が高いことが最大の特徴である(およそ1.5倍)。 また、熱に耐性があるため、間欠炎、ブタドックリ、カジオコシなど火を扱う仕掛けや原生生物を処理するためには赤ピクミンが不可欠となる。 攻撃力が高いのは尖った鼻があるからだという説明がされることがあるが、 実際には他ピクミンと比べて筋繊維が太いことが直接の要因と言われている。そのせいか、ピクミンの中ではもっとも活発な種であるらしい。 火属性を持つ原生生物に限らず、戦闘面では赤ピクミンがいるのといないのとでは効率に大きな差が出るため、 戦闘の機会が多いステージでは特に重宝される。
21,21,原生生物,ミヤビフタクチ,koppacha,koppacha,みやびふたくち,『ピクミン2』で登場したフタクチドックリ(幼虫)の変種。赤い身体が特徴的である。 フタクチドックリと違って砂鉄を含む岩石を好むため、吐き出す岩には強い磁力を含んでいる。 吐き出された岩はホコタテ星人の宇宙服にある金属に反応してどこまでも追いかけてくる。 この岩はピクミンではどうあがいても壊せないが、 探検キット“ロケットパンチ”(鉄人のコブシ)があれば、ホコタテ星人のパンチで岩を破壊することができる。 また、磁力を利用してミヤビフタクチまで誘導させれば、岩の衝撃を使って一撃で倒すこともできる。 大量のピクミンを連れていると犠牲を出しやすいため、少数精鋭あるいはオリマー単独で立ち向かった方が良い。 希少種なのか、“ねむりの谷”と“のぞみの大地”の地上、“百戦錬磨の穴”4Fと三カ所にしか出現しない。 また、ミヤビフタクチの成虫は未だに確認されていない。
22,22,フルーツ,デコリボッコリ,koppacha,koppacha,でこりぼっこり,『ピクミン3』に登場する蜜柑の一種。蜜柑のうちシラヌヒという品種はデコリボッコリのように果梗部が盛り上がっており、 “デコポン”という名称はそのうち糖度の高いものを厳選した商品名を言う。デコリボッコリという名はそこに由来するものと思われる。 本編では2つ存在し、いずれもオニヨン付近にある壁の向こうに半分埋まった状態で存在する。 “ツラノカワ”と比べてもそれほど大きさに差はないが、運搬必要数は10と見た目以上に重く、取得できる果汁量も2倍に近い。 “始まりの森”ではペロチャッピーのテリトリーに存在するため、ペロチャッピーを倒さなければ運ぶことができない。
23,23,ミッションモード,原生の杜（お宝をあつめろ！）,koppacha,koppacha,げんせいのもり,"『ピクミン3』のミッションモードにおいて、最初から遊べるステージのひとつ。 同作品のミッションモードで唯一アルフしか操作できない小さなステージであり、ミッションモード入門ステージと位置付けられる。 強力な原生生物は存在せずマップ構造も単純であるが、カケ橋、キンカイ、土壁などミッションモードの基本的な仕掛けが凝縮されており、 やり込むほどにミッションモードの奥深さを知ることができる。 制限時間は7分、プラチナボーダースコアは2,110点であり、操作できるピクミンは赤ピクミン・岩ピクミンのみと限られている。 役割分担ができないため、岩ピクミンでしか処理できないスイショウや、赤ピクミンでしか処理できないカジオコシをどのように突破するか、 そして重い運搬物の運搬ルートを大幅に短縮できるカケ橋をいつかけるかがタイム短縮の鍵となる。 銅メダル以上でクリアすると“白銀の泉”が出現する。"
24,24,アイテム・仕掛け,バクダン岩,koppacha,koppacha,ばくだんいわ,この世界の随所に存在する、高エネルギーを蓄えた小さな岩。シリーズを通して登場するがその仕様は大きく異なる。 『ピクミン』では黄ピクミンしか扱えず、『ピクミン2』では原生生物のサクレウラメとサクレショイグモしか扱えず、『ピクミン3』では全色ピクミンが扱えるようになっている。 『ピクミン』『ピクミン3』では障害物を強引に突破し、素早くステージを攻略するためのキーアイテムと言えるが、 『ピクミン2』では原生生物しか取り扱えないこともあって、プレイヤーにとっては驚異でしかない。 バクダン岩は叩いたり、落下させたりといった衝撃を与えることで大爆発を引き起こす。 その威力値はゲーム中でも最高峰であり、この爆発に巻き込まれた生物は、ピクミンはもちろんアカチャッピーでさえも一撃で倒れてしまう。 ただし捕食動作を行わないダマグモなどに対してはあまり効果的ではない。鉄筋のカベ(岩のカベ)はバクダン岩を使わないと突破することができない。 また、ガラスのカベ、土のカベなどピクミンが叩いて壊す障害物に対しても有効である。 『ピクミン』ではバクダン岩持ちピクミンを投げると一旦フリーになり、その状態で呼ぶことでバクダン岩を発動させていたが、 『ピクミン3』では投げて着地した時点でカウントダウンが始まるため、取り扱いには注意が必要である。 なお、『ピクミン2』では本編やチャレンジモードでは直接扱えないが、2Pバトルモードの“からくちコース”でのみ、 オリマー・ルーイがバクダン岩を取り扱うことができる。
25,25,ピクミン,青ピクミン,koppacha,koppacha,あおぴくみん,『ピクミン』で登場したピクミンの一種。青い身体に三角形のような形をしている口を持つ。 ゲーム中では確認できないが、口元の周りのほほの部分にはエラがあり、 口とエラを使うことでピクミン科で唯一水中呼吸を実現している。なお、ピクミンは捕食活動を行わないため食事のためには口は使われない。 シリーズを通して一番最後に仲間になるピクミンである。 ステージによっては水の占める割合が多く、青ピクミンがいなければ回収作業を進められない場合があるため、 それらを早い日数で回収するためには青ピクミンをなるべく早く仲間に加える必要がある。 この傾向は『ピクミン3』でもっとも顕著であり、ピクミンシリーズにパズル的なテイストを加える重要な役割を担っている。 戦闘が苦手であるという特性を持ち、『ピクミン』『ピクミン2』では最弱攻撃力という設定になっている。 多くの場合水棲生物は青ピクミンのみで戦うことになり、赤・紫ピクミンなどの力を借りることができないため、 概ね陸上よりも水中の方が体感難易度は高い。水中の城はその極端な例である。 『ピクミン3』では攻撃力は黄ピクミンと同等になったため、若干パワーアップしたとも言える。
26,26,世界観,無人探査機スパロウ,koppacha,koppacha,むじんたんさきすぱろう,"『ピクミン3』に登場。食糧危機に瀕するコッパイ星人が、食料源となるような惑星を探すために作ったロケットの一種である。 279,000光年離れたPNF-404の発見に成功していることから、その高性能ぶりが窺える。 アルフがPNF-404に不時着したとき、「ワープドライブ・キーがないと帰れない」と言っていることから、 スパロウにもワープ航法を可能にするワープドライブ・キーを搭載していることが推測される。 ミッションモード“お宝をあつめろ！”にて、スタート地点で回収物を収集している“ポッド”に極めて近い外形をしており、 これがスパロウであるという可能性もある。 『ピクミン2』に登場したドルフィン初号機にも似たような機能を有しているパーツが存在するため、 コッパイ星人とホコタテ星人は惑星探査の分野においてお互いに協力関係にあるのかもしれない。"
27,27,原生生物,ゾウノアシ,koppacha,koppacha,ぞうのあし,『ピクミン2』で登場したダマグモの近縁種。濃い紫色の身体に、肥大化したコアと足を持つ。 ケイ素の外殻に軟質重金属の内蔵など、同作品の中でも特異な性質を持つダマグモ科の中でも最も大きい種である。 『ピクミン2』までに登場するダマグモ科で唯一体毛を持っているため、次作で登場したケダマグモに比較的近い種であると推測される。 本編では同作品で最も深い地下“百戦錬磨の穴”の15Fにのみ出現し、倒すと“オヤジのおもいで”を出す。 足が非常に大きいため踏みつぶされやすいが、弱点も大きいためダメージは与えやすい。 100匹を連れての無犠牲討伐は至難の業だが、少数精鋭の赤ピクミンで戦うと容易に倒すことができる。 チャレンジモードでは15番目のステージ“大足の穴”に出現するため、 本編挑戦前にこちらで練習するのも良い。 また、2Pバトルモード“カクカクコース”でも3回に1回程度の割合で出現する。 このゾウノアシはコア部分をタマゴムシに寄生されており、倒すとおぞましいほど大量に出現するタマゴムシを見ることができる。
28,28,お宝,あいとゆうきリアクター,koppacha,koppacha,あいとゆうきりあくたー,『ピクミン2』に登場するお宝のひとつ。 松下電池工業(現・パナソニック)が1970年代に発売していた単一マンガン乾電池『National Hi-Top C8501』と推測される。 オリマーたちの不時着地点に落ちており、全201種の中でも最初に回収することになるお宝である。 ほとんどが100ポコ前後の価値であるお宝の中では比較的高価な部類である。 お宝名の“あいとゆうき”は、果てないお宝探しの冒険の幕開けを飾ることになったお宝に対して、 希望の思いを込めてオリマーが名付けたものである。 そのため、名前の由来としては『ピクミン』でメインエンジンを回収して行けるようになるステージ“希望の森”とルーツが同じであると言える。 なお、チャレンジモードには出現しない。
29,29,世界観,惑星PNF-404,koppacha,koppacha,わくせいぴーえぬえふよんまるよん,ピクミンシリーズにおいて、ゲームの舞台となる場所であり、ピクミンなどの生物圏を形成している惑星である。 『ピクミン』『ピクミン2』のエンディング、『ピクミン3』のオープニングで確認される惑星の外形からモデルは地球と推測されている。 PNF-404とはコッパイ星人によって付けられた通称である。『大乱闘スマッシュブラザーズX』では“あの星”という名前でステージとして登場する。 『ピクミン』で休暇を取って宇宙旅行をしていたオリマーが不時着したことがきっかけで発見され、 後に食料を貪欲に探すコッパイ星人らによっても発見されることになる。 コッパイ星からは27万9000光年(約26垓3954兆km)離れており、コッパイ星とその近隣惑星であるホコタテ星からはワープ航法を用いなければ到達できない。 コッパイ星人やホコタテ星人にとっては有毒ガスである酸素を大気に多く含んでいるため、探査には宇宙服が必須となる。大地のエキス及びその結晶体であるペレット、またはピクミン科全般を生産者とし、それらに強く依存した奇怪な生態系が形成されている。 地下世界や石の壁、電線など明らかに生態系にはそぐわないものが存在したり、 ポンガシグサ、ミズモチ、アメボウズ、ツユハライ科全般等、食物連鎖に関わらないような特異な生物が数多く活動している。 地下世界に数多く落ちている“お宝”は、この惑星に文明があることの証明であるが、文明を持つ生物は未だに確認されない。 実質的にデメマダラが地上を広く支配していたが、しばしば異星人によるリーダーシップによってピクミン科も猛威を振るっており、 その結果、ごく短期間で生態系の多くが退化・進化を繰り返している。
30,30,ピクミン,白ピクミン,koppacha,koppacha,しろぴくみん,『ピクミン2』で初登場したピクミンの一種。『ピクミン3』では本編には登場せず、ミッションモードの一部でのみ扱うことができる。 標準的なピクミンよりも一回り小さい身体に、発達した赤い目を持つ。花弁は紫ピクミンと同じ赤紫色。 小さいためか非常にすばしこく、移動速度が速い。そのため、時間短縮が重要な意味を持つピクミンシリーズにおいては、 運搬作業を素早く処理するためにとても重宝される。 また、『ピクミン2』ではピクミンで唯一完全に埋まったお宝を見つけ出す能力を持っている。 隊列に加わっていれば、命令を下さなくても埋まっているお宝の下を通ることで自動的に察知して掘り始める。 『ピクミン3』では完全に埋まったものは登場しなかったため、その能力は消えることとなったが、 移動速度に関しては他ピクミンとの性能差がさらに顕著になっており、特にカケラ、キンカイを運ぶ際にその真価を発揮する。 また、白ピクミンは毒を持っており、原生生物に食べられても毒によってダメージを与えることができる。 毒のダメージはさまざまであるが、概してデメマダラ科はこの毒に弱い傾向にあり、『ピクミン2』のベニデメマダラとその近縁種は大型の原生生物であるにも関わらず、 白ピクミン1匹分の毒で致死量に至る。逆に、ヘビガラス科は比較的毒に耐性を持っているらしく、アカヘビガラスは白ピクミン11匹分までの毒に耐える。 『ピクミン3』でもこの能力は健在だが、チャッピーなどの毒耐性が強くなっていること、白ピクミン自体が運搬に非常に重宝する存在であることから、 敢えて食べさせる意味は薄くなった。
